possession.id,period,how.possession.ended,team.with.ball,end.time,attempts.2p,makes.2p,attempts.3p,makes.3p,attempts.ft,makes.ft,points,defensive.fouls,offensive.rebounds,alternates
121,3,made.shot,home,1607,0,0,1,1,0,0,3,0,0,TRUE
122,3,missed.shot,away,1622,1,0,0,0,0,0,0,0,0,TRUE
123,3,made.shot,home,1629,1,1,0,0,0,0,2,0,0,TRUE
124,3,turnover,away,1641,0,0,0,0,0,0,0,0,0,TRUE
125,3,missed.shot,home,1652,1,1,0,0,1,0,2,1,0,TRUE
126,3,turnover,away,1661,0,0,0,0,0,0,0,0,0,TRUE
127,3,missed.shot,home,1685,1,0,0,0,0,0,0,0,0,TRUE
128,3,missed.shot,away,1700,1,0,0,0,0,0,0,0,0,TRUE
129,3,missed.shot,home,1717,0,0,1,0,0,0,0,0,0,TRUE
130,3,made.shot,away,1721,0,0,1,1,0,0,3,0,0,TRUE
131,3,made.shot,home,1736,1,1,0,0,0,0,2,0,0,TRUE
132,3,turnover,away,1748,0,0,0,0,0,0,0,2,0,TRUE
133,3,missed.shot,home,1766,1,0,0,0,0,0,0,0,0,TRUE
134,3,last.ft.made,away,1771,1,1,0,0,1,1,3,1,0,TRUE
135,3,missed.shot,home,1785,0,0,1,0,0,0,0,0,0,TRUE
136,3,missed.shot,away,1795,0,0,1,0,0,0,0,0,0,TRUE
137,3,made.shot,home,1800,1,1,0,0,0,0,2,0,0,TRUE
138,3,turnover,away,1807,0,0,0,0,0,0,0,0,0,TRUE
139,3,made.shot,home,1824,1,1,0,0,0,0,2,0,0,TRUE
140,3,missed.shot,away,1848,1,0,0,0,0,0,0,1,0,TRUE
141,3,missed.shot,home,1869,2,0,0,0,0,0,0,0,1,TRUE
142,3,made.shot,away,1875,1,1,0,0,0,0,2,0,0,TRUE
143,3,made.shot,home,1890,1,1,0,0,0,0,2,0,0,TRUE
144,3,turnover,away,1906,0,0,0,0,0,0,0,0,0,TRUE
145,3,missed.shot,home,1918,1,0,0,0,0,0,0,1,0,TRUE
146,3,missed.shot,away,1922,0,0,1,0,0,0,0,0,0,TRUE
147,3,turnover,home,1935,0,0,0,0,2,1,1,1,1,TRUE
148,3,turnover,away,1947,0,0,0,0,0,0,0,0,0,TRUE
149,3,made.shot,home,1976,1,1,1,0,0,0,2,0,1,TRUE
150,3,turnover,away,1991,0,0,0,0,0,0,0,0,0,TRUE
151,3,last.ft.made,home,2001,0,0,1,0,2,2,2,1,1,TRUE
152,3,made.shot,away,2022,0,0,1,1,0,0,3,0,0,TRUE
153,3,made.shot,home,2044,1,1,0,0,0,0,2,0,0,TRUE
154,3,missed.shot,away,2072,0,0,2,0,0,0,0,0,1,TRUE
155,3,missed.shot,home,2097,1,0,0,0,0,0,0,0,0,TRUE
156,3,made.shot,away,2110,1,0,1,1,0,0,3,0,1,TRUE
157,3,missed.shot,home,2136,2,0,0,0,0,0,0,0,1,TRUE
158,3,last.ft.made,away,2158,0,0,1,0,2,2,2,1,1,TRUE
